Program Time [s],data 0,data 1,data 2
45.6562,27,2021,2
45.6861,22,2024,1
45.7321,0,1,0
45.7392,1,1,0
45.7471,2,0,7.00649e-45
45.8392,1.6e+08,2024,0
45.8602,22,298,0
45.904,54798,300,0
45.9042,5724,294,0
45.9101,8000,0,0
45.971,317,2.8026e-45,0
51.9561,315,0,0
57.956,302,0,0
63.9563,298,0,0
69.9562,298,0,0
75.9562,300,2.86793e-14,0
81.9562,293,-9.68495e-33,0
87.9561,294,1000,0
93.9561,291,1,0
99.9561,294,-2.91563e-27,0
105.956,294,0,0
111.956,290,1000,0
117.956,290,0,0
123.956,308,0,0
129.956,295,0,0
135.956,293,0,0
141.956,293,0,0
147.956,290,0,0
153.956,290,0,0
159.955,290,8.97251e-42,0
165.955,291,8.97532e-42,0
171.955,290,6.77386e-24,0
177.955,290,0,0
183.955,290,1.4013e-44,0
189.955,291,10,0
195.955,282,0,0
201.955,290,0,0
207.955,291,0,0
213.955,291,-1.24162e-37,0
219.955,293,0,0
225.955,291,0,0
231.955,293,0,0
237.955,290,0,0
243.955,291,0,0
249.955,293,0,0
255.955,291,0,0
261.955,292,0,0
267.954,291,0,0
273.954,292,0,0
279.954,293,0,0
285.954,292,0,1.4013e-45
291.954,293,0,0
297.954,292,0,2.55323e-38
303.954,291,0,9.22166e-41
309.954,291,0,0
315.954,293,0,0
321.954,291,0,4.0288e-11
327.954,290,0,4.60835e-39
333.954,293,0,6.51201e-10
339.954,292,0,4.0288e-11
345.954,292,0,4.97569e-39
351.954,293,0,6.51201e-10
357.954,291,0,4.0288e-11
363.954,295,0,128.001
369.953,287,0,294
375.953,292,0,294
381.953,292,0,290
387.953,293,0,308
393.953,293,0,293
399.953,293,0,7.00649e-45
405.953,295,0,5.60519e-45
411.953,295,0,0
417.953,293,0,0
423.953,295,0,0
429.953,293,0,0
435.953,295,0,0
441.953,293,0,0
447.953,295,0,0
453.953,293,0,0
459.953,294,0,0
465.953,295,0,0
471.953,291,0,0
477.952,295,0,0
483.952,301,0,0
489.952,294,0,0
495.952,295,0,0
501.952,295,0,0
507.952,295,0,0
513.952,298,0,1.52742e-43
519.952,295,0,0
525.952,296,0,0
531.952,295,0,0
537.952,293,0,0
543.952,295,0,0
549.952,293,0,0
555.952,293,0,0
561.952,284,0,0
567.952,297,0,0
573.952,295,0,0
579.951,293,0,0
585.951,295,0,0
591.951,295,0,0
597.951,295,0,0
603.951,295,0,0
609.951,296,0,0
615.951,295,0,0
621.951,298,0,0
627.951,298,0,0
633.951,298,0,0
639.951,296,0,0
645.951,309,0,0
651.951,297,0,0
657.951,295,0,0
663.951,295,0,0
669.951,296,0,0
675.951,295,0,0
681.95,296,0,1.66075e-07
687.95,295,0,0
693.95,295,0,0
699.95,295,0,0
705.95,294,0,0
711.95,295,0,0
717.95,295,0,0
723.95,308,0,0
729.95,295,0,0
735.95,295,0,0
741.95,296,0,0
747.95,295,0,0
753.95,298,0,0
759.95,295,0,0
765.95,295,0,0
771.95,294,0,4.45697e-41
777.95,295,0,0
783.949,295,0,7.00624e+22
789.949,295,0,1.94316e-19
795.949,295,0,6.0661e+23
801.949,297,0,7.5031e+28
807.949,295,0,1.05975e-38
813.949,294,0,3.66242e+12
819.949,295,0,0
825.949,283,0,0
831.949,296,2.34297e-42,0
837.949,296,0,3.64338e-43
843.949,298,0,4.45697e-41
849.949,290,0,0
855.949,296,0,5.54943
861.949,296,0,5.55065
867.949,295,0,0
873.949,296,0,1.4013e-45
879.95,297,-nan,0
885.949,295,0,0
891.949,297,0,0
897.95,296,8.97952e-42,1.54143e-44
903.949,298,0,0
909.95,295,1.43493e-42,1.4013e-44
915.95,296,7.17465e-43,8
921.949,296,1.4013e-45,-nan
927.95,283,1.4013e-44,217
933.95,298,1.54143e-44,1224
939.95,298,0,2.52234e-44
945.951,301,0,0
951.95,297,2.34297e-42,3.79395
957.95,308,1.4013e-45,3.79395
963.95,300,0,1.4013e-45
969.95,300,0,0
975.95,298,0,0
981.95,298,0,0
987.95,296,0,0
993.951,298,0,4.2039e-44
999.95,296,0,0
1005.95,300,0,1.68156e-44
1011.95,298,0,8
1017.95,295,0,-nan
1023.95,298,0,212
1029.95,297,0,217
1035.95,296,0,5.32493e-44
1041.95,296,9.32704e-41,2.8026e-45
1047.95,298,2.8026e-45,0
1053.95,296,1.4013e-44,1.875
1059.95,296,0,1.4013e-45
1065.95,296,0,0
1071.95,296,0,0
1077.95,300,0,0
1083.95,304,0,0
1089.95,297,0,1.96182e-44
1095.95,296,0,0
1101.95,297,0,2.24208e-44
1107.95,300,0,8
1113.95,298,0,-nan
1119.95,298,0,1224
1125.95,299,0,1250
1131.95,300,4.2039e-45,2.66247e-44
1137.95,298,2.24208e-44,2.8026e-45
1143.95,298,1.4013e-45,0
1149.95,300,1.43493e-42,1.875
1155.95,300,1.4013e-45,1.4013e-45
1161.95,300,1.43493e-42,0
1167.95,296,1.4013e-45,0
1173.95,281,1.4013e-45,0
1179.95,300,0,0
1185.95,300,2.86986e-42,3.50325e-44
1191.95,300,1.4013e-45,0
1197.95,305,0,3.64338e-44
1203.95,300,0,8
1209.95,302,0,-nan
1215.95,302,2.24208e-44,1256
1221.95,302,7.17465e-43,1250
1227.95,300,0,4.2039e-44
1233.95,304,0,1.12104e-44
1239.95,302,1.4013e-44,0
1245.95,306,1.4013e-45,3.36312e-44
1251.95,308,1.4013e-45,0
1257.95,302,1.43493e-42,1.12104e-44
1263.95,304,1.4013e-45,0
1269.95,304,1.43493e-42,1.12104e-44
1275.95,302,1.4013e-45,0
1281.95,301,1.4013e-45,5.04467e-44
1287.95,292,0,225
1293.94,302,3.58732e-43,0
1299.94,300,1.4013e-45,0
1305.94,300,0,0
1311.94,300,0,0
1317.94,301,0,1.4013e-45
1323.94,300,0,1.4013e-44
1329.94,300,0,1.4013e-45
1335.94,301,0,94
1341.94,302,0,394
1347.94,300,0,96
1353.94,300,0,392
1359.94,302,0,113
1365.94,302,0,358
1371.94,302,0,94
1377.94,304,0,394
1383.94,300,0,123
1389.94,302,0,148
1395.94,302,0,8.12753e-44
1401.94,302,0,6.16571e-44
1407.94,302,0,8.68805e-44
1413.94,300,0,8.68805e-44
1419.94,304,0,6.16571e-44
1425.94,304,0,9.24857e-44
1431.94,302,0,9.24857e-44
1437.94,302,0,6.16571e-44
1443.94,301,0,9.80909e-44
1449.94,300,0,9.80909e-44
1455.94,304,0,6.16571e-44
1461.94,304,0,1.03696e-43
1467.94,300,0,1.03696e-43
1473.94,300,0,1.05097e-43
1479.94,300,0,6.16571e-44
1485.94,301,3.22299e-44,6.16571e-44
1491.94,300,-nan,6.30584e-44
1497.94,301,-nan,6.44597e-44
1503.94,300,4.2039e-45,6.44597e-44
1509.94,300,4.45697e-41,6.5861e-44
1515.94,301,0,6.72623e-44
1521.94,300,0,6.72623e-44
1527.94,304,0,6.86636e-44
1533.94,304,0,7.00649e-44
1539.94,302,0,7.00649e-44
1545.94,304,0,7.14662e-44
1551.94,302,0,7.28675e-44
1557.94,300,0,7.28675e-44
1563.94,304,0,7.42688e-44
1569.94,302,0,7.56701e-44
1575.94,304,0,7.56701e-44
1581.94,302,0,7.70714e-44
1587.94,302,0,7.84727e-44
1593.94,300,0,7.84727e-44
1599.94,302,4.45697e-41,7.9874e-44
1605.94,302,0,8.12753e-44
1611.94,300,0,8.12753e-44
1617.94,302,-nan,8.26766e-44
1623.94,297,0,8.40779e-44
1629.94,300,0,8.40779e-44
1635.94,298,0,8.54792e-44
1641.94,304,8.2308e+36,8.68805e-44
1647.94,300,0,8.68805e-44
1653.94,302,0,8.82818e-44
1659.94,302,0,8.96831e-44
1665.94,300,0,8.96831e-44
1671.94,300,0,9.10844e-44
1677.94,300,0,9.24857e-44
1683.94,301,0,9.24857e-44
1689.94,301,0,9.3887e-44
1695.94,300,-1952.2,9.52883e-44
1701.94,300,7.82031,9.52883e-44
1707.94,302,6.80859,9.66896e-44
1713.94,300,0,9.80909e-44
1719.94,304,-11.0742,9.80909e-44
1725.94,302,-10.418,9.94922e-44
1731.94,301,5.96094,1.00893e-43
1737.94,301,5.27734,1.00893e-43
1743.94,302,0,1.02295e-43
1749.94,300,-9.40625,1.03696e-43
1755.94,281,-8.44922,1.06499e-43
1761.94,300,7.76562,1.10703e-43
1767.94,300,10.0898,1.09301e-43
1773.94,300,1.4013e-45,1.14906e-43
1779.94,302,-8.44922,1.12104e-43
1785.94,309,-8.39453,1.20512e-43
1791.94,316,3.25391,1.20512e-43
1797.94,314,4.42969,1.12104e-43
1803.94,315,1.4013e-45,1.26117e-43
1809.94,315,-8.42188,1.26117e-43
1815.94,311,-7.4375,1.12104e-43
1821.94,300,7.02734,1.31722e-43
1827.94,302,6.34375,1.31722e-43
1833.94,302,0,1.12104e-43
1839.94,306,-8.17578,1.37327e-43
1845.94,302,-7.95703,1.37327e-43
1851.94,300,4.42969,1.12104e-43
1857.94,298,5.35938,1.42932e-43
1863.94,296,1.4013e-45,1.42932e-43
1869.94,304,-7.95703,1.12104e-43
1875.94,297,-7.875,1.48538e-43
1881.94,305,1.03906,1.48538e-43
1887.94,304,0.109375,1.12104e-43
1893.94,295,0,1.54143e-43
1899.94,325,-7.21875,1.54143e-43
1905.94,347,-6.22754,1.55544e-43
1911.94,325,9.05078,1.12104e-43
1917.94,307,8.72266,1.12104e-43
1923.94,305,1.4013e-45,1.13505e-43
1929.94,298,-4.89453,1.14906e-43
1935.94,302,-3.4043,1.14906e-43
1941.94,300,0.109375,1.16308e-43
1947.94,295,0.492188,1.17709e-43
1953.94,298,0,1.17709e-43
1959.94,293,-3.4043,1.1911e-43
1965.94,300,-2.37891,1.20512e-43
1971.94,295,0.492188,1.20512e-43
1977.94,293,1.09375,1.21913e-43
1983.94,293,0,1.23314e-43
1989.94,300,-2.37891,1.23314e-43
1995.94,295,-0.246094,1.24716e-43
2001.94,296,1.09375,1.26117e-43
2007.94,295,2.16016,1.26117e-43
2013.94,298,0,1.27518e-43
2019.94,295,-0.246094,1.28919e-43
2025.94,293,0.875,1.28919e-43
2031.94,296,2.16016,1.30321e-43
2037.94,295,3.44531,1.31722e-43
2043.94,293,0,1.31722e-43
2049.94,309,0.382812,1.33123e-43
2055.94,293,0.628906,1.34525e-43
2061.94,295,5.49609,1.34525e-43
2067.94,295,6.58984,1.35926e-43
2073.94,296,0,1.37327e-43
2079.94,293,0.628906,1.37327e-43
2085.94,297,0.875,1.38729e-43
2091.94,295,6.58984,1.4013e-43
2097.94,297,7.60156,1.4013e-43
2103.94,299,0,1.41531e-43
2109.94,304,2,1.42932e-43
2115.94,298,1.21223e-38,1.42932e-43
2121.94,296,9.43789,1.44334e-43
2127.94,296,5.8776e-38,1.45735e-43
2133.94,297,1.4013e-45,1.45735e-43
2139.94,296,2.95722e-38,1.47136e-43
2145.94,295,0.12793,1.48538e-43
2151.94,295,5.73075e-38,1.48538e-43
2157.94,295,7.01623e-38,1.49939e-43
2163.94,296,0,1.5134e-43
2169.94,287,0,1.5134e-43
2175.94,293,-1952.2,1.52742e-43
2181.94,302,10.9375,1.54143e-43
2187.94,308,11.2656,1.58347e-43
2193.94,298,1.4013e-45,1.56945e-43
2199.94,296,-11.3203,1.61149e-43
2205.94,295,-11.293,1.63952e-43
2211.94,298,11.4023,1.62551e-43
2217.94,296,11.5664,1.66755e-43
2223.94,295,1.4013e-45,1.69557e-43
2229.94,292,-11.2109,1.68156e-43
2235.94,297,-11.1289,1.7236e-43
2241.94,297,11.6758,1.75162e-43
2247.94,293,11.7578,1.73761e-43
2253.94,297,1.4013e-45,1.77965e-43
2259.94,291,-11.0742,1.80768e-43
2265.94,295,-10.8828,1.79366e-43
2271.94,298,0.382812,1.8357e-43
2277.94,297,0,1.86373e-43
2283.94,298,0,1.84971e-43
2289.94,296,-10.8828,1.89175e-43
2295.94,296,-10.7188,1.91978e-43
2301.94,295,12.0859,1.90577e-43
2307.94,298,12.168,1.9478e-43
2313.93,296,1.4013e-45,1.97583e-43
2319.93,294,-10.5,1.96182e-43
2325.93,295,-10.3906,2.00386e-43
2331.93,298,6.125,2.03188e-43
2337.93,300,6.125,2.01787e-43
2343.93,301,0,2.05991e-43
2349.93,294,-10.5,2.08793e-43
2355.93,300,-10.3633,2.07392e-43
2361.93,295,12.1953,2.11596e-43
2367.93,295,12.25,2.14399e-43
2373.93,298,1.4013e-45,2.12997e-43
2379.93,296,-10.3633,2.17201e-43
2385.93,296,-10.0625,2.21405e-43
2391.93,298,0.875,2.18603e-43
2397.93,296,0.875,2.2701e-43
2403.93,295,1.4013e-45,2.2701e-43
2409.93,296,-10.0625,2.18603e-43
2415.93,300,-0.4375,2.32616e-43
2421.93,297,0,2.32616e-43
2427.93,296,0,2.18603e-43
